id,talep_metni,talep_turu,birim,modul,surec_talep_tipi,oncelik
T-1001,siyah toner tükendi renkli hala var,Hizmet Talebi (Service Request),İdari İşler,Ofis Ekipmanı,Toner/Kartuş Talebi,Düşük
T-1002,yazıcı kağıdı bitti yenisi lazım,Hizmet Talebi (Service Request),İdari İşler,Satınalma/Malzeme,Kırtasiye Malzeme Talebi,Orta
T-1003,ERP sistemi çöktü kimse giriş yapamıyor tüm şirkette!,Arıza (Incident),Bilgi Teknolojileri,Sunucu/Sistem,Sunucu/Servis Kesintisi,Kritik
T-1004,toplantı odasının klimasından su damlıyor.,Arıza (Incident),İdari İşler,Bina/Tesis Bakım,Klima/Isıtma Arızası,Yüksek
T-1005,kartımı kaybettim binaya giremiyorum acil,Hizmet Talebi (Service Request),İdari İşler,Güvenlik & Ulaşım,Kayıp Giriş Kartı,Yüksek
T-1006,yazıcı kağıt sıkıştırdı basmıyor,Arıza (Incident),İdari İşler,Ofis Ekipmanı,Yazıcı/Fotokopi Arıza Bildirimi,Orta
T-1007,"Elif 3 Ekim'te Satınalma'da işe başlıyor, hesabının hazır olması lazım.",Hizmet Talebi (Service Request),Bilgi Teknolojileri,Güvenlik ve Erişim,Yeni Kullanıcı Hesabı,Orta
T-1008,iznimi değiştirmem lazım tarih uymuyor artık,Hizmet Talebi (Service Request),İnsan Kaynakları,İzin Yönetimi,İzin İptal/Değişiklik,Düşük
T-1009,rapor çekmeye çalışırken sistem çok yavaş yanıt veriyor bazen hiç açılmıyor,Arıza (Incident),Bilgi Teknolojileri,Sunucu/Sistem,Veritabanı Erişim Hatası,Düşük
T-1010,mouse'um kablosuz ama bağlanmıyor pil değiştirdim olmadı.,Arıza (Incident),Bilgi Teknolojileri,Donanım,Monitör/Çevre Birimi Arızası,Düşük
T-1011,"Merhaba, 5 Eylül tarihinden beri bilgisayarım rastgele kapanıyor, fan sesi de çok yüksek geliyor, Levent Ofis'da çalışıyorum.",Arıza (Incident),Bilgi Teknolojileri,Donanım,Bilgisayar Arıza/Onarım,Orta
T-1012,vpn hata veriyor 0x80070005,Arıza (Incident),Bilgi Teknolojileri,Ağ/Network,VPN Erişim Sorunu,Düşük
T-1013,"Hesabım kilitlendi, çok kez yanlış şifre girdim, Onur.",Hizmet Talebi (Service Request),Bilgi Teknolojileri,Güvenlik ve Erişim,Şifre Sıfırlama,Orta
T-1014,müşteri ziyareti için nakit avans lazım,Hizmet Talebi (Service Request),Finans,Masraf & Ödeme,Avans Talebi,Düşük
T-1015,masraf formunu yanlış doldurmuşum düzeltebilir miyim,Bilgi Talebi (Information),Finans,Masraf & Ödeme,Masraf/Harcama Formu Onayı,Düşük
T-1016,"Lojistik paylaşımlı sürücüsüne erişemiyorum, izin verilmesi gerekiyor.",Hizmet Talebi (Service Request),Bilgi Teknolojileri,Güvenlik ve Erişim,Sistem/Klasör Yetki Talebi,Düşük
T-1017,fatura ödemesi neden gecikti,Bilgi Talebi (Information),Finans,Masraf & Ödeme,Fatura Ödeme Takibi,Düşük
T-1018,"Ar-Ge Binası güzergahına yeni durak eklenmesini talep ediyorum, Can.",Bilgi Talebi (Information),İdari İşler,Güvenlik & Ulaşım,Servis Güzergah Talebi,Orta
T-1019,"İkinci monitör talep ediyorum, ekran paylaşımı için ihtiyacım var, Satınalma.",Hizmet Talebi (Service Request),Bilgi Teknolojileri,Donanım,Yeni Ekipman Kurulumu,Düşük
T-1020,"Fatma, hızlı bir şekilde çalışma belgesi çıkartabilir miyiz?",Hizmet Talebi (Service Request),İnsan Kaynakları,Bordro & Özlük,Özlük/Çalışma Belgesi Talebi,Orta
T-1021,"Telefonuma wifi bağlanmıyor ama bilgisayara bağlanıyor, 1. kat.",Arıza (Incident),Bilgi Teknolojileri,Ağ/Network,Wi-Fi Bağlantı Sorunu,Düşük
T-1022,lisansımın süresi doldu yenilenmesi lazım,Hizmet Talebi (Service Request),Bilgi Teknolojileri,Yazılım,Yazılım Lisans/Kurulum Talebi,Düşük
T-1023,elektrik kesildi tüm kat karanlık,Arıza (Incident),İdari İşler,Bina/Tesis Bakım,Elektrik/Aydınlatma Arızası,Yüksek
T-1024,Teams çöküyor sürekli kapanıyor,Arıza (Incident),Bilgi Teknolojileri,Yazılım,Uygulama Hatası (Outlook/Teams/Excel vb.),Düşük
T-1025,ergonomik sandalye talep ediyorum bel ağrım var,Hizmet Talebi (Service Request),İdari İşler,Satınalma/Malzeme,Ofis Mobilya Değişimi,Düşük
T-1026,internet yok,Arıza (Incident),Bilgi Teknolojileri,Ağ/Network,İnternet Bağlantı Sorunu,Orta
T-1027,yıllık izin ne kadar kaldı bilmiyorum,Bilgi Talebi (Information),İnsan Kaynakları,İzin Yönetimi,Yıllık İzin Talebi/Bakiye Sorgulama,Orta
T-1028,toner bitti acil 7. kat,Hizmet Talebi (Service Request),İdari İşler,Ofis Ekipmanı,Toner/Kartuş Talebi,Düşük
T-1029,beyaz tahta kalemi bitti,Hizmet Talebi (Service Request),İdari İşler,Satınalma/Malzeme,Kırtasiye Malzeme Talebi,Orta
T-1030,Levent Ofis ofisindeki tüm sistemler 13:00'den beri erişilemez durumda.,Arıza (Incident),Bilgi Teknolojileri,Sunucu/Sistem,Sunucu/Servis Kesintisi,Yüksek
T-1031,toplantı odasının klimasından su damlıyor.,Arıza (Incident),İdari İşler,Bina/Tesis Bakım,Klima/Isıtma Arızası,Orta
T-1032,"Serkan kartını dün İzmir Ofis yakınında kaybetmiş, yeni kart lazım.",Hizmet Talebi (Service Request),İdari İşler,Güvenlik & Ulaşım,Kayıp Giriş Kartı,Orta
T-1033,"Yazıcının rengi soluk çıkıyor, kartuş değişmesi gerekebilir.",Arıza (Incident),İdari İşler,Ofis Ekipmanı,Yazıcı/Fotokopi Arıza Bildirimi,Yüksek
T-1034,yeni personel için mail adresi açılsın,Hizmet Talebi (Service Request),Bilgi Teknolojileri,Güvenlik ve Erişim,Yeni Kullanıcı Hesabı,Orta
T-1035,"geçen hafta girdiğim izin talebini iptal etmem gerekiyor, planlar değişti",Hizmet Talebi (Service Request),İnsan Kaynakları,İzin Yönetimi,İzin İptal/Değişiklik,Düşük
T-1036,raporlama ekranında veritabanı bağlantı hatası alıyorum 'connection timeout' diyor,Arıza (Incident),Bilgi Teknolojileri,Sunucu/Sistem,Veritabanı Erişim Hatası,Orta
T-1037,yazıcıya bağlı tarayıcı çalışmıyor tarama yapamıyorum,Arıza (Incident),Bilgi Teknolojileri,Donanım,Monitör/Çevre Birimi Arızası,Düşük
T-1038,"Dizüstü bilgisayarım çok yavaş çalışıyor, program açmak dakikalar sürüyor, Pazarlama departmanındayım.",Arıza (Incident),Bilgi Teknolojileri,Donanım,Bilgisayar Arıza/Onarım,Orta
